SEQ  KIND               WALL_MS        HASH
0    device.enrolled    1790326746833  bbc4356e3da3
1    boot               1790326746834  9506261e7973
2    arch.mounted       1790326750522  f251e49acede
3    arch.mounted       1790326750830  ba94829a79ba
4    arch.mounted       1790326751152  2f3e6e8cdaa4
5    task.submitted     1790326751482  22c6a7543f94
6    infer              1790326751543  b49ffff11c6f
7    infer              1790326896287  8e58240cd992
8    register.written   1790326751543  dc54b357f962
9    task.step          1790326751543  9caf32ae70f7
10   infer              1790326896293  7df394fdb163
11   infer              1790326926659  cab3cc3bd29f
12   register.written   1790326896293  f4d88c019616
13   register.written   1790326896293  36c6e984fc28
14   task.step          1790326896293  291b86a3ff03
15   infer              1790326926673  ae6edb1fe750
16   infer              1790326969083  bf3bf72b3e66
17   register.written   1790326926673  1da208292cba
18   task.step          1790326926673  ef905a593f8b
19   task.step          1790326969088  fc9ad7744670
20   approval.recorded  1790326969173  c95d45dfc194
21   task.step          1790326969264  79d5112960c1
22   artefact.released  1790326969268  5c4e0637987c
23   task.step          1790326969268  6f21c6358653
