SEQ  KIND                 WALL_MS        HASH
0    device.enrolled      1790327724566  532d29ef9527
1    boot                 1790327724569  8548e9fefb1c
2    arch.mounted         1790327730488  4430740fd98c
3    arch.mounted         1790327731000  a5ab3085667f
4    arch.mounted         1790327731531  791350043345
5    task.submitted       1790327732037  41766b5e2227
6    infer                1790327732120  18fe4ffd697a
7    infer                1790327932844  3fa1ba71a280
8    register.written     1790327732120  54fbf5976e4f
9    task.step            1790327732120  d2c0891a5d00
10   lease.granted        1790327933042  bb7a7caddc2f
11   register.written     1790327987312  42bddd50e55d
12   register.written     1790327988212  de1fb641b1a9
13   harness.connections  1790327991021  2d863bfb9f59
14   task.step            1790327991021  8dc3721629f9
15   infer                1790327991162  c3fa43044d2f
16   infer                1790328161790  94234462a169
17   register.written     1790327991162  2f924dd9a8f8
18   task.step            1790327991162  d53f00faa51a
19   task.step            1790328161799  35a93e737f47
20   approval.recorded    1790328161907  05d2418b0388
21   task.step            1790328161981  1220fa53333c
22   artefact.released    1790328161986  420abf5ee9d2
23   task.step            1790328161986  a00e8b828159
