SEQ  KIND               WALL_MS        HASH
3    arch.mounted       1790326750830  ba94829a79ba
4    arch.mounted       1790326751152  2f3e6e8cdaa4
5    task.submitted     1790326751482  22c6a7543f94
6    infer              1790326751543  b49ffff11c6f
7    infer              1790326896287  8e58240cd992
8    register.written   1790326751543  dc54b357f962
9    task.step          1790326751543  9caf32ae70f7
10   infer              1790326896293  7df394fdb163
11   infer              1790326926659  cab3cc3bd29f
12   register.written   1790326896293  f4d88c019616
13   register.written   1790326896293  36c6e984fc28
14   task.step          1790326896293  291b86a3ff03
15   infer              1790326926673  ae6edb1fe750
16   infer              1790326969083  bf3bf72b3e66
17   register.written   1790326926673  1da208292cba
18   task.step          1790326926673  ef905a593f8b
19   task.step          1790326969088  fc9ad7744670
20   approval.recorded  1790326969173  c95d45dfc194
21   task.step          1790326969264  79d5112960c1
22   artefact.released  1790326969268  5c4e0637987c
23   task.step          1790326969268  6f21c6358653
24   task.submitted     1790326969832  fe536392997b
25   infer              1790326969875  f387d8561608
26   infer              1790327039465  38aecfb8e6ec
27   register.written   1790326969875  c03d868ffa54
28   task.step          1790326969875  3dbd98f701fd
29   infer              1790327039471  696d3b779f5a
30   infer              1790327230895  999a425d92ed
31   register.written   1790327039471  60bf8f7cfb6a
32   register.written   1790327039471  71a99cef0285
33   task.step          1790327039471  4c3bc86f7477
34   infer              1790327230905  a35aba74e104
35   infer              1790327454602  805b2bd518ab
36   register.written   1790327230905  a27847687540
37   task.step          1790327230905  b148ab2e8bbb
38   task.step          1790327454609  c0757e0dd0fe
39   approval.recorded  1790327454674  459f99d1159b
40   task.step          1790327454744  a8fba048d2b6
41   artefact.released  1790327454750  87b9a13343c3
42   task.step          1790327454750  e58c7cf65fbb
